Heure de Debut,Heure de Fin,Resume,Lieu,Groupe
2022-01-25 13:00:00,2022-01-25 15:00:00,Analyse et traitement de données structurées,RT-Salle-TD2,RT1Shannon1 RT1Turing TDFourier
2022-01-17 07:15:00,2022-01-17 11:15:00,SAE13: Telecommunication,RT-Labo Electronique 1,RT1Turing
2021-10-27 12:00:00,2021-10-27 16:00:00,Bases des systèmes d'exploitation,RT-Labo Informatique 1,RT1Huffman
2021-11-29 15:00:00,2021-11-29 17:00:00,PPP,RT-Labo Informatique 2,RT2App
2021-12-07 07:15:00,2021-12-07 08:45:00,SAE12: Réseaux,RT-Salle-TD1,TDBell
2021-12-06 12:30:00,2021-12-06 16:15:00,BDD : MODELE RELATIONNEL,RT-Salle Info CAO,
2021-12-16 07:15:00,2021-12-16 11:15:00,Architecture des systèmes numériques et informatiques,RT-Labo Informatique 3,RT1Shannon1 RT1Shannon2 RT1App
2022-01-28 12:30:00,2022-01-28 14:30:00,Mathématiques des systèmes numériques,RT-Salle-TD2,RT1Shannon1 RT1Turing
2021-09-20 06:15:00,2021-09-20 10:15:00,Initiation réseaux,RT-Labo reseaux 1,RT1Shannon1 RT1Shannon2
2021-09-15 08:15:00,2021-09-15 10:15:00,Matrices et graphes,RT-Salle-TD4,RT2Dijkstra RT2Hamming
2022-01-15 08:45:00,2022-01-15 10:45:00,SAE13: Telecommunication,RT-Labo Telecoms 2,RT1Shannon1 RT1Shannon2
2022-01-27 07:15:00,2022-01-27 09:15:00,Signaux et systèmes pour les transmissions,RT-Salle-TD1,TDBell
2021-11-10 15:00:00,2021-11-10 17:00:00,Expression Culture Communications professionnelles,RT-Salle Labo Visio,RT1App
2021-11-24 09:15:00,2021-11-24 11:15:00,Expression Culture Communications professionnelles,RT-Salle-TD2,RT1Turing
2021-12-06 13:00:00,2021-12-06 17:00:00,Services réseaux avancés,RT-Labo Informatique 1,RT2App
2022-01-14 07:15:00,2022-01-14 11:15:00,Réseaux opérateurs MR,RT-Labo reseaux 1,RT2Hamming
2021-09-22 12:00:00,2021-09-22 16:00:00,Initiation réseaux,RT-Labo reseaux 1,RT1App
2021-12-14 09:15:00,2021-12-14 11:15:00,SAE12: Réseaux,RT-Salle Labo Visio,RT1App
2021-09-29 06:15:00,2021-09-29 08:15:00,Initiation réseaux,RT-Labo Informatique 3,RT1App
2021-10-19 12:00:00,2021-10-19 14:00:00,Electromagnétisme,RT-Salle-TD3,RT2App
2021-10-04 06:15:00,2021-10-04 10:15:00,Scripts avancés,RT-Labo Informatique 1,RT2Hamming
2022-01-03 13:00:00,2022-01-03 16:00:00,Réseaux cellulaires,RT-Labo Informatique 1,RT2Hamming
2021-11-19 12:30:00,2021-11-19 14:30:00,Architecture des systèmes numériques et informatiques,RT-Salle Labo Visio,RT1App
2022-01-07 09:15:00,2022-01-07 11:15:00,DS Réseaux locaux et équipements actifs,RT-Salle Labo Visio,RT1App
2021-11-16 13:00:00,2021-11-16 16:00:00,Principes et architecture des réseaux,RT-Labo reseaux 2,RT1App
2022-01-03 13:00:00,2022-01-03 17:00:00,Services réseaux avancés,RT-Labo Informatique 2,RT2Dijkstra
2021-10-11 14:00:00,2021-10-11 16:00:00,Principes et architecture des réseaux,RT-Salle Labo Visio,RT1App
2021-12-13 07:15:00,2021-12-13 09:15:00,Architecture des systèmes numériques et informatiques,RT-Salle Labo Visio,RT1App
2021-12-10 12:30:00,2021-12-10 14:30:00,TP Supervision et sécurisation du SI,RT-Labo reseaux 1,
2021-10-12 12:00:00,2021-10-12 14:00:00,Projets tuteurés,,RT2Hamming RT2Dijkstra
2022-01-05 13:00:00,2022-01-05 15:00:00,SAE12: Réseaux,RT-Labo reseaux 2,RT1App
2021-12-06 13:00:00,2021-12-06 17:00:00,Réseaux locaux et équipements actifs,RT-Labo reseaux 2,RT1Huffman
2021-11-18 07:15:00,2021-11-18 11:00:00,Systèmes et stockage virtualisés,Pôle formation (Monéteau),
2021-11-18 12:30:00,2021-11-18 16:15:00,Systèmes et stockage virtualisés,Pôle formation (Monéteau),
2022-01-04 14:30:00,2022-01-04 16:30:00,TP Supervision et sécurisation du SI,RT-Labo reseaux 1,
2021-11-23 09:15:00,2021-11-23 11:15:00,Réseaux opérateurs MR,RT-Salle-TD4,RT2Dijkstra RT2Hamming
2022-01-12 07:15:00,2022-01-12 11:00:00,LINUX,RT-Labo Informatique 3,
2021-09-09 06:15:00,2021-09-09 08:15:00,Initiation réseaux,"RT-Salle-TD2,RT-Labo Informatique 2",TDFourier
2022-02-01 15:00:00,2022-02-01 17:00:00,Sources de données,RT-Salle-TD1,TDBell
2022-02-07 12:30:00,2022-02-07 16:15:00,Arcitecture 3-Tier,Pôle formation (Monéteau),
2021-11-23 13:00:00,2021-11-23 15:00:00,Infrastructure sans fil,RT-Labo Telecoms 1,RT2App
2022-01-07 07:15:00,2022-01-07 09:15:00,Anglais,RT-Labo Informatique 2,RT2Hamming
2021-11-10 13:00:00,2021-11-10 16:00:00,Mathématiques des transmissions,RT-Labo Informatique 2,RT1Huffman
2021-12-16 12:30:00,2021-12-16 16:30:00,Architecture des systèmes numériques et informatiques,RT-Labo Informatique 1,RT1Turing
2022-01-11 07:15:00,2022-01-11 09:15:00,SAE15: Traiter des données,RT-Salle Labo Visio,RT1App
